"post_psych","Was a referral made for psychological support?","1, Yes | 0, No"
"post_psych_2","Is it known when this referral for psychological support","1, Yes | 0, No"
"post_etoh","Was a referral made to alcohol or substance abuse","1, Yes | 0, No"
"post_etoh_2","Is it known when this referral to alcohol or substance","1, Yes | 0, No"
"index_created_time","Created time","0, Incomplete | 1, Unverified | 2, Complete Enabled as survey"
"gad1","","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad2","2. Not being able to stop or control worrying","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad3","3. Worrying too much about different things","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad4","4. Having trouble relaxing","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad5","5. Being so restless that it is hard to sit still","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad6","6. Becoming easily annoyed or irritable","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad7","7. Feeling afraid as if something awful might happen","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad_difficult","If you checked o"" any problems, how difficult have these","0, Not difficult at all | 1, Somewhat difficult | 2, Very difficult | 3, Extremely difficult"
"littlint","","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"dephop","2. Feeling down, depressed, or hopeless","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"sleepy","3. Trouble falling or staying asleep, or sleeping too much","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"triedenergy","4. Feeling tired or having little energy","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"appover","5. Poor appetite or overeating","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"failure","6. Feeling bad about yourself -- or that you are a failure","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"trubconc","7. Trouble concentrating on things, such as reading the","0, Not at all | 1, Several days alf the days y day"
"slowly","8. Moving or speaking so slowly that other people could","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"deaddying","9. Thoughts that you would be better o"" dead or of","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"phq9_how_difficult","If you checked o"" any problems, how difficult have these","1, 1- Not difficult at all | 2, 2- Somewhat difficult | 3, 3- Very difficult | 4, 4- Extremely difficult"
"eq5d_mb_5l_uk_eng","MOBILITY","1, I have no problems in walking about | 2, I have slight problems in walking about | 3, I have moderate problems in walking about | 4, I have severe problems in walking about | 5, I am unable to walk about"
"eq5d_sc_5l_uk_eng","SELF-CARE","1, I have no problems washing or dressing myself | 2, I have slight problems washing or dressing myself | 3, I have moderate problems washing or dressing myself | 4, I have severe problems washing or dressing myself | 5, I am unable to wash or dress myself"
"eq5d_ua_5l_uk_eng","USUAL ACTIVITIES (e.g. work, study, housework, family or","1, I have no problems doing my usual activities | 2, I have slight problems doing my usual activities | 3, I have moderate problems doing my usual activities | 4, I have severe problems doing my usual activities | 5, I am unable to do my usual activities"
"eq5d_pd_5l_uk_eng","PAIN / DISCOMFORT","1, I have no pain or discomfort | 2, I have slight pain or discomfort | 3, I have moderate pain or discomfort | 4, I have severe pain or discomfort | 5, I have extreme pain or discomfort"
"eq5d_ad_5l_uk_eng","ANXIETY / DEPRESSION","1, I am not anxious or depressed | 2, I am slightly anxious or depressed | 3, I am moderately anxious or depressed | 4, I am severely anxious or depressed | 5, I am extremely anxious or depressed"
"eq5d5l_vas2_uk_eng","We would like to know how good or bad your health is","0, - The worst health you can imagine , | 100, - The best health you can imagine"
"spain","","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"tight","In the past 7 days, did you feel bloated (your stomach","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"nois","In the past 7 days, did your stomach make noises?","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"gas7","In the past 7 days, did you pass gas?","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"samllgas","In the past 7 days, when you passed gas did it smell very","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"nauseas","In the past 7 days, did you feel sick (but didn't actually","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"appetitedown","In the past 7 days, did you have a lack of appetite?","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"watpoo","","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"rushtoil","In the past 7 days, did you feel the need to rush to the","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"lightorangepoo","In the past 7 days, did your poo look lighter or orange in","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"poosmell","In the past 7 days, when you had a poo did it smell very","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"poofat","In the past 7 days, did you see or have fat or oil in your","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"urgencytoilet","In the past 7 days, did you feel you needed to be close to","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"fatfoodavoid","","1, No not at all | 2, Yes a little of the time | 3, Yes sometimes | 4, Yes most of the time | 5, Yes all of the time"
"concentrationpoor","In the past 7 days, did your enzyme problems affect your","1, No not at all | 2, Yes a little of the time | 3, Yes sometimes | 4, Yes most of the time | 5, Yes all of the time"
"embarrassedpoo","In the past 7 days, did you feel embarrassed going to the","1, No not at all | 2, Yes a little bit | 3, Yes moderately | 4, Yes quite a bit | 5, Yes extremely"
"ansiosenzyme","In the past 7 days, did you feel worried, anxious or","1, No not at all | 2, Yes a little bit | 3, Yes moderately | 4, Yes quite a bit | 5, Yes extremely"
"socialactivityimpact","In the past 7 days, did your enzyme problems affect your","1, No not at all | 2, Yes a little of the time | 3, Yes sometimes | 4, Yes most of the time | 5, Yes all of the time"
"wp4_7_30_proms_v","PANORAMA WP4 - Day of Discharge/ 7 day PROMS. v1.0","0, Incomplete | 1, Unverified | 2, Complete"
"gad1_7d","","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad2_7d","2. Not being able to stop or control worrying","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad3_7d","3. Worrying too much about different things","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad4_7d","4. Having trouble relaxing","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad5_7d","5. Being so restless that it is hard to sit still","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad6_7d","6. Becoming easily annoyed or irritable","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad7_7d","7. Feeling afraid as if something awful might happen","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad_difficult_7d","If you checked o"" any problems, how difficult have these","0, Not difficult at all | 1, Somewhat difficult | 2, Very difficult | 3, Extremely difficult"
"littlint_7d","","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"dephop_7d","2. Feeling down, depressed, or hopeless","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"sleepy_7d","3. Trouble falling or staying asleep, or sleeping too much","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"triedenergy_7d","4. Feeling tired or having little energy","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"appover_7d","5. Poor appetite or overeating","0, Not at all | 1, Several days | 2, More than half the days very day"
"failure_7d","6. Feeling bad about yourself -- or that you are a failure","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"trubconc_7d","7. Trouble concentrating on things, such as reading the","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
